symbol,industry,category,subcategory,long_name,status,detail,fetched_at
AA,Basic Materials,Mining,Metal-Aluminum,ALCOA CORP,ok,,2026-09-25T12:49:51.053621Z
AAPL,Technology,Computers,Computers,APPLE INC,ok,,2026-09-25T12:49:51.073953Z
ACTG,"Consumer, Non-cyclical",Commercial Services,Consulting Services,ACACIA RESEARCH CORP,ok,,2026-09-25T12:49:51.092106Z
ADM,"Consumer, Non-cyclical",Agriculture,Agricultural Operations,ARCHER-DANIELS-MIDLAND CO,ok,,2026-09-25T12:49:51.108384Z
AEP,Utilities,Electric,Electric-Integrated,AMERICAN ELECTRIC POWER,ok,,2026-09-25T12:49:51.129084Z
ALMS,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,ALUMIS INC,ok,,2026-09-25T12:49:51.147502Z
AMD,Technology,Semiconductors,Electronic Compo-Semicon,ADVANCED MICRO DEVICES,ok,,2026-09-25T12:49:51.162456Z
AMT,Financial,REITS,REITS-Diversified,AMERICAN TOWER CORP,ok,,2026-09-25T12:49:51.180314Z
AMZN,Communications,Internet,E-Commerce/Products,AMAZON.COM INC,ok,,2026-09-25T12:49:51.199698Z
ARRY,Energy,Energy-Alternate Sources,Energy-Alternate Sources,ARRAY TECHNOLOGIES INC,ok,,2026-09-25T12:49:51.220259Z
ASML,Technology,Semiconductors,Semiconductor Equipment,ASML HOLDING NV-NY REG SHS,ok,,2026-09-25T12:49:51.239494Z
ATMU,Industrial,Electronics,Electronic Compo-Misc,ATMUS FILTRATION TECHNOLOGIE,ok,,2026-09-25T12:49:51.259109Z
AVBP,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,ARRIVENT BIOPHARMA INC,ok,,2026-09-25T12:49:51.274818Z
AVGO,Technology,Semiconductors,Electronic Compo-Semicon,BROADCOM INC,ok,,2026-09-25T12:49:51.291272Z
AWK,Utilities,Water,Water,AMERICAN WATER WORKS CO INC,ok,,2026-09-25T12:49:51.306970Z
AXP,Financial,Diversified Finan Serv,Finance-Credit Card,AMERICAN EXPRESS CO,ok,,2026-09-25T12:49:51.322777Z
BA,Industrial,Aerospace/Defense,Aerospace/Defense,BOEING CO/THE,ok,,2026-09-25T12:49:51.338625Z
BAC,Financial,Banks,Diversified Banking Inst,BANK OF AMERICA CORP,ok,,2026-09-25T12:49:51.355324Z
BEAM,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,BEAM THERAPEUTICS INC,ok,,2026-09-25T12:49:51.373393Z
BHP,Basic Materials,Mining,Diversified Minerals,BHP GROUP LTD-SPON ADR,ok,,2026-09-25T12:49:51.390166Z
BKE,"Consumer, Cyclical",Retail,Retail-Apparel/Shoe,BUCKLE INC/THE,ok,,2026-09-25T12:49:51.408421Z
BKNG,Communications,Internet,E-Commerce/Services,BOOKING HOLDINGS INC,ok,,2026-09-25T12:49:51.427037Z
BLK,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,BLACKROCK INC,ok,,2026-09-25T12:49:51.443030Z
BNTX,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,BIONTECH SE-ADR,ok,,2026-09-25T12:49:51.460127Z
CASY,"Consumer, Cyclical",Retail,Retail-Convenience Store,CASEY'S GENERAL STORES INC,ok,,2026-09-25T12:49:51.479410Z
CAT,Industrial,Machinery-Constr&Mining,Machinery-Constr&Mining,CATERPILLAR INC,ok,,2026-09-25T12:49:51.495268Z
