symbol,name,code,source_ref,tags,cohort,issuer,underlying_index,description,ibkr_symbol
RSPT,Invesco S&P 500 Equal Weight Information Technology ETF,EQ.IT,fund_mandate,eq_sector;spread_leg,etf_equal_weight,Invesco,S&P 500 Equal Weight Information Technology Index,Invesco S&P 500 Equal Weight Information Technology ETF,
RSPF,Invesco S&P 500 Equal Weight Financials ETF,EQ.FIN,fund_mandate,eq_sector;spread_leg,etf_equal_weight,Invesco,S&P 500 Equal Weight Financials Index,Invesco S&P 500 Equal Weight Financials ETF,
RSPH,Invesco S&P 500 Equal Weight Health Care ETF,EQ.HC,fund_mandate,eq_sector;spread_leg,etf_equal_weight,Invesco,S&P 500 Equal Weight Health Care Index,Invesco S&P 500 Equal Weight Health Care ETF,
RSPN,Invesco S&P 500 Equal Weight Industrials ETF,EQ.IND,fund_mandate,eq_sector;spread_leg,etf_equal_weight,Invesco,S&P 500 Equal Weight Industrials Index,Invesco S&P 500 Equal Weight Industrials ETF,
RSPD,Invesco S&P 500 Equal Weight Consumer Discretionary ETF,EQ.CD,fund_mandate,eq_sector;spread_leg,etf_equal_weight,Invesco,S&P 500 Equal Weight Consumer Discretionary Index,Invesco S&P 500 Equal Weight Consumer Discretionary ETF,
RSPS,Invesco S&P 500 Equal Weight Consumer Staples ETF,EQ.CS,fund_mandate,eq_sector;spread_leg,etf_equal_weight,Invesco,S&P 500 Equal Weight Consumer Staples Index,Invesco S&P 500 Equal Weight Consumer Staples ETF,
RSPM,Invesco S&P 500 Equal Weight Materials ETF,EQ.MAT.MATERIALS,fund_mandate,eq_sector;spread_leg,etf_equal_weight,Invesco,S&P 500 Equal Weight Materials Index,Invesco S&P 500 Equal Weight Materials ETF,
RSPR,Invesco S&P 500 Equal Weight Real Estate ETF,EQ.RE,fund_mandate,eq_sector;spread_leg,etf_equal_weight,Invesco,S&P 500 Equal Weight Real Estate Index,Invesco S&P 500 Equal Weight Real Estate ETF,
RSPC,Invesco S&P 500 Equal Weight Communication Services ETF,EQ.COM,fund_mandate,eq_sector;spread_leg,etf_equal_weight,Invesco,S&P 500 Equal Weight Communication Services Index,Invesco S&P 500 Equal Weight Communication Services ETF,
QQEW,First Trust NASDAQ-100 Equal Weighted Index Fund,EQ.BROAD,fund_mandate,eq_broad;spread_leg,etf_equal_weight,First Trust,NASDAQ-100 Equal Weighted Index,First Trust NASDAQ-100 Equal Weighted Index Fund,
IJH,iShares Core S&P Mid-Cap ETF,EQ.BROAD,fund_mandate,eq_broad;spread_leg,etf_size_style,iShares (BlackRock),S&P MidCap 400,iShares Core S&P Mid-Cap ETF,
IJR,iShares Core S&P Small-Cap ETF,EQ.BROAD,fund_mandate,eq_broad;eq_small_cap;spread_leg,etf_size_style,iShares (BlackRock),S&P SmallCap 600,iShares Core S&P Small-Cap ETF,
IWC,iShares Micro-Cap ETF,EQ.BROAD,fund_mandate,eq_broad;eq_small_cap;spread_leg,etf_size_style,iShares (BlackRock),Russell Microcap Index,iShares Micro-Cap ETF,
IWN,iShares Russell 2000 Value ETF,EQ.BROAD,fund_mandate,eq_small_cap;eq_value;spread_leg,etf_size_style,iShares (BlackRock),Russell 2000 Value Index,iShares Russell 2000 Value ETF,
IWO,iShares Russell 2000 Growth ETF,EQ.BROAD,fund_mandate,eq_small_cap;eq_growth;spread_leg,etf_size_style,iShares (BlackRock),Russell 2000 Growth Index,iShares Russell 2000 Growth ETF,
VIXM,ProShares VIX Mid-Term Futures ETF,VOL.EQUITY,fund_mandate,vol_proxy;spread_leg,etf_size_style,ProShares,S&P 500 VIX Mid-Term Futures Index,ProShares VIX Mid-Term Futures ETF,
EWU,iShares MSCI United Kingdom ETF,EQ.BROAD,fund_mandate,intl_developed,etf_country,iShares (BlackRock),MSCI United Kingdom (iShares capped variant),iShares MSCI United Kingdom ETF,
EWC,iShares MSCI Canada ETF,EQ.BROAD,fund_mandate,intl_developed,etf_country,iShares (BlackRock),MSCI Canada (iShares capped variant),iShares MSCI Canada ETF,
EWA,iShares MSCI Australia ETF,EQ.BROAD,fund_mandate,intl_developed,etf_country,iShares (BlackRock),MSCI Australia (iShares capped variant),iShares MSCI Australia ETF,
EWH,iShares MSCI Hong Kong ETF,EQ.BROAD,fund_mandate,intl_developed,etf_country,iShares (BlackRock),MSCI Hong Kong (iShares capped variant),iShares MSCI Hong Kong ETF,
EWS,iShares MSCI Singapore ETF,EQ.BROAD,fund_mandate,intl_developed,etf_country,iShares (BlackRock),MSCI Singapore (iShares capped variant),iShares MSCI Singapore ETF,
EWP,iShares MSCI Spain ETF,EQ.BROAD,fund_mandate,intl_developed,etf_country,iShares (BlackRock),MSCI Spain (iShares capped variant),iShares MSCI Spain ETF,
EWI,iShares MSCI Italy ETF,EQ.BROAD,fund_mandate,intl_developed,etf_country,iShares (BlackRock),MSCI Italy (iShares capped variant),iShares MSCI Italy ETF,
EWQ,iShares MSCI France ETF,EQ.BROAD,fund_mandate,intl_developed,etf_country,iShares (BlackRock),MSCI France (iShares capped variant),iShares MSCI France ETF,
EWL,iShares MSCI Switzerland ETF,EQ.BROAD,fund_mandate,intl_developed,etf_country,iShares (BlackRock),MSCI Switzerland (iShares capped variant),iShares MSCI Switzerland ETF,
EWD,iShares MSCI Sweden ETF,EQ.BROAD,fund_mandate,intl_developed,etf_country,iShares (BlackRock),MSCI Sweden (iShares capped variant),iShares MSCI Sweden ETF,
