symbol,name,code,source_ref,tags,cohort,issuer,underlying_index,description,ibkr_symbol
XAR,SPDR S&P Aerospace & Defense ETF,EQ.IND.CAPGOODS.AEROSPACE,fund_mandate,eq_sub_sector,etf_industry,State Street,S&P Aerospace & Defense Select Industry Index,SPDR S&P Aerospace & Defense ETF,
XES,SPDR S&P Oil & Gas Equipment & Services ETF,EQ.EN.ENERGY.EQUIPSVC,fund_mandate,eq_sub_sector;commodity_energy_crude,etf_industry,State Street,S&P Oil & Gas Equipment & Services Select Industry Index,SPDR S&P Oil & Gas Equipment & Services ETF,
XHE,SPDR S&P Health Care Equipment ETF,EQ.HC.EQUIPSVC.EQUIPMENT,fund_mandate,eq_sub_sector,etf_industry,State Street,S&P Health Care Equipment Select Industry Index,SPDR S&P Health Care Equipment ETF,
XHS,SPDR S&P Health Care Services ETF,EQ.HC.EQUIPSVC.PROVIDERS,fund_mandate,eq_sub_sector,etf_industry,State Street,S&P Health Care Services Select Industry Index,SPDR S&P Health Care Services ETF,
XME,SPDR S&P Metals & Mining ETF,EQ.MAT.MATERIALS.METALS,fund_mandate,eq_sub_sector;commodity_metals_industrial,etf_industry,State Street,S&P Metals & Mining Select Industry Index,SPDR S&P Metals & Mining ETF,
XPH,SPDR S&P Pharmaceuticals ETF,EQ.HC.PHARMA.PHARMA,fund_mandate,eq_sub_sector,etf_industry,State Street,S&P Pharmaceuticals Select Industry Index,SPDR S&P Pharmaceuticals ETF,
XSD,SPDR S&P Semiconductor ETF,EQ.IT.SEMI.EQUIP,fund_mandate,eq_sub_sector,etf_industry,State Street,S&P Semiconductors Select Industry Index,SPDR S&P Semiconductor ETF,
XSW,SPDR S&P Software & Services ETF,EQ.IT.SOFTWARE,fund_mandate,eq_sub_sector,etf_industry,State Street,S&P Software & Services Select Industry Index,SPDR S&P Software & Services ETF,
XWEB,SPDR S&P Internet ETF,EQ.BROAD,fund_mandate,eq_sub_sector,etf_industry,State Street,S&P Internet Select Industry Index,SPDR S&P Internet ETF,
KBE,SPDR S&P Bank ETF,EQ.FIN.BANKS.BANKS,fund_mandate,eq_sub_sector,etf_industry,State Street,S&P Banks Select Industry Index,SPDR S&P Bank ETF,
KIE,SPDR S&P Insurance ETF,EQ.FIN.INSURANCE.INSURANCE,fund_mandate,eq_sub_sector,etf_industry,State Street,S&P Insurance Select Industry Index,SPDR S&P Insurance ETF,
KCE,SPDR S&P Capital Markets ETF,EQ.FIN.FINSVC.CAPMKTS,fund_mandate,eq_sub_sector,etf_industry,State Street,S&P Capital Markets Select Industry Index,SPDR S&P Capital Markets ETF,
IHI,iShares U.S. Medical Devices ETF,EQ.HC.EQUIPSVC.EQUIPMENT,fund_mandate,eq_sub_sector,etf_industry,iShares (BlackRock),Dow Jones U.S. Select Medical Equipment Index,iShares U.S. Medical Devices ETF,
SLX,VanEck Steel ETF,EQ.MAT.MATERIALS.METALS,fund_mandate,eq_sub_sector;commodity_metals_industrial,etf_industry,VanEck,NYSE Arca Steel Index,VanEck Steel ETF,
GDXJ,VanEck Junior Gold Miners ETF,EQ.MAT.MATERIALS.METALS,fund_mandate,eq_sub_sector;commodity_metals_precious,etf_industry,VanEck,MarketVector Global Junior Gold Miners Index,VanEck Junior Gold Miners ETF,
EIDO,iShares MSCI Indonesia ETF,EQ.BROAD,fund_mandate,intl_em,etf_country_em,iShares (BlackRock),MSCI Indonesia IMI 25/50,iShares MSCI Indonesia ETF,
THD,iShares MSCI Thailand ETF,EQ.BROAD,fund_mandate,intl_em,etf_country_em,iShares (BlackRock),MSCI Thailand IMI 25/50,iShares MSCI Thailand ETF,
EPOL,iShares MSCI Poland ETF,EQ.BROAD,fund_mandate,intl_em,etf_country_em,iShares (BlackRock),MSCI Poland IMI 25/50,iShares MSCI Poland ETF,
TUR,iShares MSCI Turkey ETF,EQ.BROAD,fund_mandate,intl_em,etf_country_em,iShares (BlackRock),MSCI Turkey IMI 25/50,iShares MSCI Turkey ETF,
EZA,iShares MSCI South Africa ETF,EQ.BROAD,fund_mandate,intl_em,etf_country_em,iShares (BlackRock),MSCI South Africa 25/50,iShares MSCI South Africa ETF,
ECH,iShares MSCI Chile ETF,EQ.BROAD,fund_mandate,intl_em,etf_country_em,iShares (BlackRock),MSCI Chile IMI 25/50,iShares MSCI Chile ETF,
EPU,iShares MSCI Peru ETF,EQ.BROAD,fund_mandate,intl_em,etf_country_em,iShares (BlackRock),MSCI All Peru Capped,iShares MSCI Peru ETF,
