symbol,name,code,source_ref,tags,cohort,issuer,underlying_index,description,ibkr_symbol
REA,Rare Earths Americas Inc,EQ.MAT.MATERIALS.METALS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
PBFS,Pioneer Bancorp Inc,EQ.FIN.BANKS.BANKS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
GYRE,Gyre Therapeutics,EQ.HC.PHARMA.PHARMA,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
ARTV,Artiva Biotherapeutics Inc,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
XZO,Exzeo Group Inc,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
EPSN,Epsilon Energy Ltd,EQ.EN.ENERGY.OILGAS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
APMD,Apnimed Inc,EQ.HC.PHARMA.PHARMA,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
BOC,Boston Omaha Corp Class A,EQ.COM.MEDIA.MEDIA,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
IBEX,Ibex Ltd,EQ.IND.COMMSVC.PROFESSIONAL,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
GENB,Generate Biomedicines Inc,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
FMAO,Farmers And Merchants Bancorp Inc,EQ.FIN.BANKS.BANKS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
FBRT,Franklin Bsp Realty Trust,EQ.FIN.FINSVC.MREITS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
AKTS,Aktis Oncology Inc,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
FSBC,Five Star Bancorp,EQ.FIN.BANKS.BANKS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
SVRA,Savara,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
VOR,Vor Biopharma,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
ANRO,Alto Neuroscience Inc,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
CDRE,Cadre Holdings Inc,EQ.IND.CAPGOODS.AEROSPACE,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
CMPR,Cimpress Plc,EQ.IND.COMMSVC.COMMERCIAL,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
DLO,Dlocal Class A,EQ.FIN.FINSVC.FINSVC,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
BRBR,Bellring Brands,EQ.CS.HOUSEHOLD.PERSONAL,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
PAYO,Payoneer Global Inc,EQ.FIN.FINSVC.FINSVC,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
VOYG,Voyager Technologies Class A,EQ.IND.CAPGOODS.AEROSPACE,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
NESR,National Energy Services Reunited,EQ.EN.ENERGY.EQUIPSVC,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
ACVA,Acv Auctions Class A,EQ.IND.COMMSVC.COMMERCIAL,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
SGHC,Super Group,EQ.CD.SERVICES.HOTELS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
SEZL,Sezzle Inc,EQ.FIN.FINSVC.CONSUMER,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
BAND,Bandwidth Class A,EQ.COM.TELECOM.DIVERSIFIED,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
INSP,Inspire Medical Systems,EQ.HC.EQUIPSVC.EQUIPMENT,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
IIPR,Innovative Industrial Properties I,EQ.RE.REITS.INDUSTRIAL,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
RDW,Redwire,EQ.IND.CAPGOODS.AEROSPACE,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
OSW,Onespaworld Holdings Ltd,EQ.CD.SERVICES.HOTELS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
PENG,Penguin Solutions Inc,EQ.IT.SEMI.EQUIP,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
PLMR,Palomar Holdings,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
SDRL,Seadrill,EQ.EN.ENERGY.EQUIPSVC,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
RLAY,Relay Therapeutics,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
CGON,Cg Oncology,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
ADPT,Adaptive Biotechnologies,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
SRRK,Scholar Rock Holding,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
LQDA,Liquidia,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwm,,,,
KRUS,Kura Sushi Usa,EQ.CD.SERVICES.HOTELS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
CMDB,Costamare Bulkers Holdings Ltd,EQ.IND.TRANSPORT.MARINE,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
FLGT,Fulgent Genetics,EQ.HC.EQUIPSVC.PROVIDERS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
BOW,Bowhead Specialty Holdings,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
CBC,Central Bancompany Class A,EQ.FIN.BANKS.BANKS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
PUMP,Propetro Holding,EQ.EN.ENERGY.EQUIPSVC,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
PWP,Perella Weinberg Partners Class A,EQ.FIN.FINSVC.CAPMKTS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
ECVT,Ecovyst,EQ.MAT.MATERIALS.CHEMICALS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
NEXT,Nextdecade,EQ.EN.ENERGY.OILGAS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
MGTX,Meiragtx Holdings Plc,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
AGL,Agilon Health,EQ.HC.EQUIPSVC.PROVIDERS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
XERS,Xeris Biopharma Holdings,EQ.HC.PHARMA.PHARMA,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
COUR,Coursera,EQ.CD.SERVICES.DIVERSIFIED,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
STUB,Stubhub Holdings Inc Class A,EQ.COM.MEDIA.INTERACTIVE,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
VSTS,Vestis,EQ.IND.COMMSVC.COMMERCIAL,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
AZTA,Azenta,EQ.HC.PHARMA.LIFESCI,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
MBX,Mbx Biosciences,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
NUVB,Nuvation Bio Class A,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
CNXC,Concentrix,EQ.IND.COMMSVC.PROFESSIONAL,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
LASR,Nlight,EQ.IT.HARDWARE.ELECEQUIP,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
MFP,Midera Food Processing Inc,EQ.IND.CAPGOODS.MACHINERY,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
PAGS,Pagseguro Digital Ltd Class A,EQ.FIN.FINSVC.FINSVC,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
LOAR,Loar Holdings,EQ.IND.CAPGOODS.AEROSPACE,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
NRIX,Nurix Therapeutics,EQ.HC.PHARMA.BIOTECH,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
CLBK,Columbia Financial Inc,EQ.FIN.BANKS.BANKS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
ACMR,Acm Research Class A,EQ.IT.SEMI.EQUIP,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
BWIN,Baldwin Insurance Group Class A,EQ.FIN.INSURANCE.INSURANCE,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
SHC,Sotera Health Company,EQ.HC.PHARMA.LIFESCI,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
NVST,Envista Holdings,EQ.HC.EQUIPSVC.EQUIPMENT,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
CRC,California Resources,EQ.EN.ENERGY.OILGAS,ibkr_contract_details+review,single_name_equity;eq_broad;eq_small_cap,r2k_draw_iwv_rank1001,,,,
