symbol,history_before_2016_09_26,evidence
ACRS,pass,no IBKR error in first screen run log
AIR,pass,no IBKR error in first screen run log
ALRM,pass,no IBKR error in first screen run log
AMPH,pass,no IBKR error in first screen run log
ASTE,pass,no IBKR error in first screen run log
ASYS,pass,no IBKR error in first screen run log
BELFA,pass,no IBKR error in first screen run log
BH,pass,no IBKR error in first screen run log
BKD,pass,no IBKR error in first screen run log
BOX,pass,no IBKR error in first screen run log
CFFN,pass,no IBKR error in first screen run log
CMCO,pass,no IBKR error in first screen run log
CPS,pass,no IBKR error in first screen run log
CSIQ,pass,no IBKR error in first screen run log
CUBI,pass,no IBKR error in first screen run log
DCH,pass,no IBKR error in first screen run log
ENOV,pass,no IBKR error in first screen run log
ENTA,pass,no IBKR error in first screen run log
FBIZ,pass,no IBKR error in first screen run log
FCEL,pass,no IBKR error in first screen run log
FLO,pass,no IBKR error in first screen run log
FRME,pass,no IBKR error in first screen run log
FRST,pass,no IBKR error in first screen run log
GEF,pass,no IBKR error in first screen run log
GLNG,pass,no IBKR error in first screen run log
GPI,pass,no IBKR error in first screen run log
GSBC,pass,no IBKR error in first screen run log
HCKT,pass,no IBKR error in first screen run log
HNRG,pass,no IBKR error in first screen run log
HSTM,pass,no IBKR error in first screen run log
IBP,pass,no IBKR error in first screen run log
IDR,pass,no IBKR error in first screen run log
INGN,pass,no IBKR error in first screen run log
JMSB,pass,no IBKR error in first screen run log
JOUT,pass,no IBKR error in first screen run log
KMT,pass,no IBKR error in first screen run log
KN,pass,no IBKR error in first screen run log
LCUT,pass,no IBKR error in first screen run log
LXP,pass,no IBKR error in first screen run log
MVBF,pass,no IBKR error in first screen run log
OEC,pass,no IBKR error in first screen run log
OTTR,pass,no IBKR error in first screen run log
PMTS,pass,no IBKR error in first screen run log
PTGX,pass,no IBKR error in first screen run log
RAIL,pass,no IBKR error in first screen run log
RBCAA,pass,no IBKR error in first screen run log
RCAT,pass,no IBKR error in first screen run log
RCMT,pass,no IBKR error in first screen run log
REX,pass,no IBKR error in first screen run log
SLAB,pass,no IBKR error in first screen run log
STBA,pass,no IBKR error in first screen run log
TG,pass,no IBKR error in first screen run log
TPB,pass,no IBKR error in first screen run log
UHT,pass,no IBKR error in first screen run log
UNF,pass,no IBKR error in first screen run log
USAU,pass,no IBKR error in first screen run log
UUUU,pass,no IBKR error in first screen run log
VATE,pass,no IBKR error in first screen run log
VISN,pass,no IBKR error in first screen run log
WEYS,pass,no IBKR error in first screen run log
WSFS,pass,no IBKR error in first screen run log
WT,pass,no IBKR error in first screen run log
YORW,pass,no IBKR error in first screen run log
GYRE,fail,daily bar probe
XZO,fail,daily bar probe
APMD,fail,daily bar probe
FBRT,fail,daily bar probe
AKTS,fail,daily bar probe
FSBC,fail,daily bar probe
VOR,fail,daily bar probe
DLO,fail,daily bar probe
BRBR,fail,daily bar probe
PAYO,fail,daily bar probe
NESR,fail,daily bar probe
ACVA,fail,daily bar probe
SEZL,fail,daily bar probe
BAND,fail,daily bar probe
IIPR,fail,daily bar probe
RDW,fail,daily bar probe
PENG,fail,daily bar probe
RLAY,fail,daily bar probe
CGON,fail,daily bar probe
SRRK,fail,daily bar probe
KRUS,fail,daily bar probe
OFLX,pass,daily bar probe
FLGT,fail,daily bar probe
CBAN,pass,daily bar probe
UHAL,pass,daily bar probe
CAL,pass,daily bar probe
CYRX,pass,daily bar probe
NXRT,pass,daily bar probe
ONIT,pass,daily bar probe
PAR,pass,daily bar probe
KURA,pass,daily bar probe
MPB,pass,daily bar probe
