iShares Core S&P 500 ETF
Fund Holdings as of,"Sep 23, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,139,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA","Information Technology","Equity","72,423,954,506.88","8.21","72,423,954,506.88","321,156,288.00","225.51","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE","Information Technology","Equity","65,273,428,649.10","7.40","65,273,428,649.10","193,678,205.00","337.02","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT","Information Technology","Equity","49,330,060,865.60","5.59","49,330,060,865.60","98,543,840.00","500.59","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","32,470,322,243.31","3.68","32,470,322,243.31","130,261,653.00","249.27","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET CLASS A","Communication","Equity","26,308,369,361.40","2.98","26,308,369,361.40","77,874,580.00","337.83","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","22,413,110,836.98","2.54","22,413,110,836.98","63,137,302.00","354.99","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS CLASS A","Communication","Equity","21,775,166,792.40","2.47","21,775,166,792.40","29,263,764.00","744.10","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET CLASS C","Communication","Equity","21,130,486,813.08","2.39","21,130,486,813.08","63,079,846.00","334.98","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","16,065,787,629.60","1.82","16,065,787,629.60","14,988,420.00","1,071.88","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","14,216,845,692.92","1.61","14,216,845,692.92","37,400,941.00","380.12","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","13,314,982,334.76","1.51","13,314,982,334.76","21,664,116.00","614.61","United States","NASDAQ","USD","1.00","USD","-"
"BRK B","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","12,535,314,139.66","1.42","12,535,314,139.66","24,716,198.00","507.17","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","12,222,198,218.43","1.39","12,222,198,218.43","10,618,857.00","1,150.99","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","11,906,879,745.24","1.35","11,906,879,745.24","35,276,508.00","337.53","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXONMOBIL HOLDINGS CORP","Energy","Equity","8,798,150,841.12","1.00","8,798,150,841.12","54,568,944.00","161.23","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","8,608,452,010.73","0.98","8,608,452,010.73","31,981,469.00","269.17","United States","NYSE","USD","1.00","USD","-"
"V","VISA CLASS A","Financials","Equity","8,175,838,789.04","0.93","8,175,838,789.04","22,615,177.00","361.52","United States","NYSE","USD","1.00","USD","-"
