iShares Russell 3000 ETF
Fund Holdings as of,"Sep 14, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA","Information Technology","Equity","1,356,415,840.80","6.71","1,356,415,840.80","6,429,730.00","210.96","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE","Information Technology","Equity","1,327,338,788.60","6.57","1,327,338,788.60","3,985,045.00","333.08","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT","Information Technology","Equity","1,034,955,854.55","5.12","1,034,955,854.55","2,047,755.00","505.41","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","677,912,463.06","3.36","677,912,463.06","2,673,789.00","253.54","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET CLASS A","Communication","Equity","561,133,616.82","2.78","561,133,616.82","1,606,038.00","349.39","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET CLASS C","Communication","Equity","453,064,363.43","2.24","453,064,363.43","1,310,533.00","345.71","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","442,017,564.72","2.19","442,017,564.72","1,282,251.00","344.72","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS CLASS A","Communication","Equity","403,264,409.60","2.00","403,264,409.60","605,866.00","665.60","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","289,035,105.63","1.43","289,035,105.63","805,179.00","358.97","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","287,095,196.97","1.42","287,095,196.97","310,699.00","924.03","United States","NASDAQ","USD","1.00","USD","-"
"BRK B","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","264,319,715.40","1.31","264,319,715.40","513,292.00","514.95","United States","NYSE","USD","1.00","USD","-"
