symbol,name,index_position_value,cap_bucket,cap_bucket_min,cap_bucket_max
REA,RARE EARTHS AMERICAS INC,787112.28,0,416353.84,5057697.12
LCUT,LIFETIME BRANDS INC,2521198.2,0,416353.84,5057697.12
PBFS,PIONEER BANCORP INC,4848395.25,0,416353.84,5057697.12
GYRE,GYRE THERAPEUTICS,2880213.2,0,416353.84,5057697.12
ARTV,ARTIVA BIOTHERAPEUTICS INC,3649514.2,0,416353.84,5057697.12
VATE,INNOVATE CORP,939893.76,0,416353.84,5057697.12
RAIL,FREIGHTCAR AMERICA INC,2670075.4,0,416353.84,5057697.12
RCMT,RCM TECHNOLOGIES INC,4849601.84,0,416353.84,5057697.12
XZO,EXZEO GROUP INC,4718756.34,0,416353.84,5057697.12
EPSN,EPSILON ENERGY LTD,2001176.92,0,416353.84,5057697.12
USAU,US GOLD CORP,5715145.25,1,5059686.12,8395497.0
APMD,APNIMED INC,6804349.5,1,5059686.12,8395497.0
BOC,BOSTON OMAHA CORP CLASS A,6929301.3,1,5059686.12,8395497.0
HCKT,HACKETT GROUP,6104523.15,1,5059686.12,8395497.0
ASYS,AMTECH SYSTEMS INC,5474224.54,1,5059686.12,8395497.0
JMSB,JOHN MARSHALL BANCORP INC,7568445.05,1,5059686.12,8395497.0
JOUT,JOHNSON OUTDOORS INC CLASS A,6726947.43,1,5059686.12,8395497.0
WEYS,WEYCO GROUP INC,6531712.46,1,5059686.12,8395497.0
BH,BIGLARI HOLDINGS INCINARY CLASS B,6457966.48,1,5059686.12,8395497.0
PMTS,CPI CARD GROUP INC,5264922.96,1,5059686.12,8395497.0
MVBF,MVB FINANCIAL CORP,9521464.24,2,8437123.08,12292356.78
BELFA,BEL FUSE CLASS A,9156371.84,2,8437123.08,12292356.78
IBEX,IBEX LTD,11037037.86,2,8437123.08,12292356.78
GENB,GENERATE BIOMEDICINES INC,10330022.08,2,8437123.08,12292356.78
CPS,COOPER STANDARD HOLDINGS,10756116.54,2,8437123.08,12292356.78
IDR,IDAHO STRATEGIC RESOURCES INC,11720168.24,2,8437123.08,12292356.78
FRST,PRIMIS FINANCIAL CORP,9673086.77,2,8437123.08,12292356.78
ENTA,ENANTA PHARMACEUTICALS INC,8679512.05,2,8437123.08,12292356.78
OEC,ORION SA,8515496.88,2,8437123.08,12292356.78
YORW,YORK WATER,12084969.6,2,8437123.08,12292356.78
FMAO,FARMERS AND MERCHANTS BANCORP INC,12655657.56,3,12302750.46,18280190.43
FBRT,FRANKLIN BSP REALTY TRUST,15698100.38,3,12302750.46,18280190.43
AKTS,AKTIS ONCOLOGY INC,14154641.32,3,12302750.46,18280190.43
GSBC,GREAT SOUTHERN BANCORP INC,16150176.27,3,12302750.46,18280190.43
FBIZ,FIRST BUSINESS FINANCIAL SERVICES,14510339.68,3,12302750.46,18280190.43
CSIQ,CANADIAN SOLAR,14192486.28,3,12302750.46,18280190.43
ACRS,ACLARIS THERAPEUTICS,15955415.74,3,12302750.46,18280190.43
UHT,UNIVERSAL HEALTH REALTY INCOME TRU,13066905.6,3,12302750.46,18280190.43
HSTM,HEALTHSTREAM,17482254.92,3,12302750.46,18280190.43
HNRG,HALLADOR ENERGY,13102762.16,3,12302750.46,18280190.43
FSBC,FIVE STAR BANCORP,20205087.0,4,18284874.86,25351273.93
SVRA,SAVARA,19489605.0,4,18284874.86,25351273.93
FCEL,FUELCELL ENERGY INC,23683540.54,4,18284874.86,25351273.93
AMPH,AMPHASTAR PHARMACEUTICALS,20573679.36,4,18284874.86,25351273.93
VOR,VOR BIOPHARMA,18952266.58,4,18284874.86,25351273.93
RBCAA,REPUBLIC BANCORP INC CLASS A,20732139.54,4,18284874.86,25351273.93
ANRO,ALTO NEUROSCIENCE INC,22271782.5,4,18284874.86,25351273.93
ASTE,ASTEC INDUSTRIES,24355564.54,4,18284874.86,25351273.93
CDRE,CADRE HOLDINGS INC,21294558.3,4,18284874.86,25351273.93
RCAT,RED CAT HOLDINGS INC,22973082.68,4,18284874.86,25351273.93
FLO,FLOWERS FOODS INC,28417087.65,5,25394162.28,36946798.4
REX,REX AMERICAN RESOURCES,32754354.48,5,25394162.28,36946798.4
VISN,VISTANCE NETWORKS INC,36721004.55,5,25394162.28,36946798.4
CMPR,CIMPRESS PLC,33997478.79,5,25394162.28,36946798.4
DLO,DLOCAL CLASS A,33520389.76,5,25394162.28,36946798.4
DCH,DAUCH CORPORATION,34853411.52,5,25394162.28,36946798.4
TPB,TURNING POINT BRANDS,29201293.0,5,25394162.28,36946798.4
CFFN,CAPITOL FEDERAL FINANCIAL INC,26731369.83,5,25394162.28,36946798.4
BRBR,BELLRING BRANDS,25394162.28,5,25394162.28,36946798.4
ENOV,ENOVIS CORP,26753392.32,5,25394162.28,36946798.4
PAYO,PAYONEER GLOBAL INC,48592790.82,6,36980673.93,52018986.46
VOYG,VOYAGER TECHNOLOGIES CLASS A,41371509.6,6,36980673.93,52018986.46
STBA,S AND T BANCORP INC,43688443.5,6,36980673.93,52018986.46
NESR,NATIONAL ENERGY SERVICES REUNITED,51532501.54,6,36980673.93,52018986.46
ACVA,ACV AUCTIONS CLASS A,45218545.33,6,36980673.93,52018986.46
SGHC,SUPER GROUP,50209177.92,6,36980673.93,52018986.46
SEZL,SEZZLE INC,44904916.56,6,36980673.93,52018986.46
BAND,BANDWIDTH CLASS A,44858442.33,6,36980673.93,52018986.46
INSP,INSPIRE MEDICAL SYSTEMS,50877054.48,6,36980673.93,52018986.46
IIPR,INNOVATIVE INDUSTRIAL PROPERTIES I,41554362.96,6,36980673.93,52018986.46
ALRM,ALARM.COM HOLDINGS,65448072.8,7,52063481.88,74825025.42
KMT,KENNAMETAL,59361678.72,7,52063481.88,74825025.42
RDW,REDWIRE,67278800.75,7,52063481.88,74825025.42
GEF,GREIF INC CLASS A,52612981.02,7,52063481.88,74825025.42
BKD,BROOKDALE SENIOR LIVING INC,67963362.35,7,52063481.88,74825025.42
OSW,ONESPAWORLD HOLDINGS LTD,56794542.42,7,52063481.88,74825025.42
CUBI,CUSTOMERS BANCORP,61596570.0,7,52063481.88,74825025.42
FRME,FIRST MERCHANTS,63655185.61,7,52063481.88,74825025.42
PENG,PENGUIN SOLUTIONS INC,69515437.2,7,52063481.88,74825025.42
GPI,GROUP AUTOMOTIVE INC,74264385.46,7,52063481.88,74825025.42
KN,KNOWLES,80339969.76,8,74830032.84,109498136.88
LXP,LXP INDUSTRIAL TRUST,91939027.84,8,74830032.84,109498136.88
WT,WISDOMTREE,83197971.16,8,74830032.84,109498136.88
OTTR,OTTER TAIL,89216595.05,8,74830032.84,109498136.88
UUUU,ENERGY FUELS,76838620.4,8,74830032.84,109498136.88
UNF,UNIFIRST,97011190.54,8,74830032.84,109498136.88
PLMR,PALOMAR HOLDINGS,86082752.58,8,74830032.84,109498136.88
SDRL,SEADRILL,74920655.18,8,74830032.84,109498136.88
RLAY,RELAY THERAPEUTICS,83567679.72,8,74830032.84,109498136.88
WSFS,WSFS FINANCIAL,102313473.81,8,74830032.84,109498136.88
SLAB,SILICON LABORATORIES,186651810.0,9,109920747.12,268860880.22
BOX,BOX INC CLASS A,114796609.2,9,109920747.12,268860880.22
CGON,CG ONCOLOGY,137672878.0,9,109920747.12,268860880.22
ADPT,ADAPTIVE BIOTECHNOLOGIES,112893783.47,9,109920747.12,268860880.22
PTGX,PROTAGONIST THERAPEUTICS,216675336.9,9,109920747.12,268860880.22
IBP,INSTALLED BUILDING PRODUCTS,122880194.92,9,109920747.12,268860880.22
GLNG,GOLAR LNG,124181852.74,9,109920747.12,268860880.22
AIR,AAR,121503482.76,9,109920747.12,268860880.22
SRRK,SCHOLAR ROCK HOLDING,141619862.0,9,109920747.12,268860880.22
LQDA,LIQUIDIA,120695201.58,9,109920747.12,268860880.22
