symbol,name,index_position_value,cap_bucket,cap_bucket_min,cap_bucket_max
INGN,INOGEN,25104.0,0,849.17,114313.68
KRUS,KURA SUSHI USA,64613.16,0,849.17,114313.68
CMCO,COLUMBUS MCKINNON CORP,111711.95,0,849.17,114313.68
TG,TREDEGAR CORP,78906.24,0,849.17,114313.68
CMDB,COSTAMARE BULKERS HOLDINGS LTD,89625.42,0,849.17,114313.68
OFLX,OMEGA FLEX INC,28993.65,0,849.17,114313.68
ULH,UNIVERSAL LOGISTICS HOLDINGS INC,68419.58,0,849.17,114313.68
FLGT,FULGENT GENETICS,111613.25,0,849.17,114313.68
LMNR,LIMONEIRA,102129.54,0,849.17,114313.68
CBAN,COLONY BANKCORP INC,51381.4,0,849.17,114313.68
RES,RPC INC,130485.1,1,114417.33,173695.86
UHAL,U HAUL HOLDING,151677.61,1,114417.33,173695.86
BOW,BOWHEAD SPECIALTY HOLDINGS,153156.24,1,114417.33,173695.86
CAL,CALERES INC,137814.6,1,114417.33,173695.86
GOOD,GLADSTONE COMMERCIAL REIT CORP,128367.0,1,114417.33,173695.86
CYRX,CRYOPORT,165680.76,1,114417.33,173695.86
MOV,MOVADO GROUP INC,149094.4,1,114417.33,173695.86
NXRT,NEXPOINT RESIDENTIAL TRUST INC,145979.21,1,114417.33,173695.86
EBF,ENNIS INC,142384.48,1,114417.33,173695.86
ONIT,ONITY GROUP INC,121927.26,1,114417.33,173695.86
MAMA,MAMAS CREATIONS INC,188782.56,2,173918.73,221188.8
PAR,PAR TECHNOLOGY,186363.18,2,173918.73,221188.8
SAFE,SAFEHOLD INC,206281.9,2,173918.73,221188.8
KURA,KURA ONCOLOGY,198057.48,2,173918.73,221188.8
CBC,CENTRAL BANCOMPANY CLASS A,201916.68,2,173918.73,221188.8
MPB,MID PENN BANCORP INC,213551.36,2,173918.73,221188.8
BCML,BAYCOM CORP,192970.92,2,173918.73,221188.8
WSBF,WATERSTONE FINANCIAL INC,180029.68,2,173918.73,221188.8
SBGI,SINCLAIR CLASS A,175975.31,2,173918.73,221188.8
PUMP,PROPETRO HOLDING,216226.5,2,173918.73,221188.8
PFBC,PREFERRED BANK,224326.08,3,221376.96,284764.45
PRSU,PURSUIT ATTRACTIONS AND HOSPITALIT,259024.78,3,221376.96,284764.45
PWP,PERELLA WEINBERG PARTNERS CLASS A,236544.57,3,221376.96,284764.45
ECVT,ECOVYST,262789.26,3,221376.96,284764.45
NEXT,NEXTDECADE,240321.12,3,221376.96,284764.45
CCBG,CAPITAL CITY BANK INC,237267.1,3,221376.96,284764.45
MUX,MCEWEN INC,260604.6,3,221376.96,284764.45
PLOW,DOUGLAS DYNAMICS INC,225498.42,3,221376.96,284764.45
APPS,DIGITAL TURBINE,272594.52,3,221376.96,284764.45
MGTX,MEIRAGTX HOLDINGS PLC,227010.0,3,221376.96,284764.45
AGL,AGILON HEALTH,309473.0,4,285681.05,380998.8
MBWM,MERCANTILE BANK CORP,299903.7,4,285681.05,380998.8
XERS,XERIS BIOPHARMA HOLDINGS,357917.17,4,285681.05,380998.8
TRST,TRUSTCO BANK CORP,314320.44,4,285681.05,380998.8
COUR,COURSERA,293644.76,4,285681.05,380998.8
BRSL,BRIGHTSTAR LOTTERY PLC,316627.11,4,285681.05,380998.8
BZH,BEAZER HOMES,336187.91,4,285681.05,380998.8
STUB,STUBHUB HOLDINGS INC CLASS A,364474.32,4,285681.05,380998.8
VSTS,VESTIS,323663.76,4,285681.05,380998.8
AZTA,AZENTA,345327.12,4,285681.05,380998.8
SCSC,SCANSOURCE,412180.65,5,383893.02,492071.88
STBA,S AND T BANCORP INC,456740.67,5,383893.02,492071.88
OCUL,OCULAR THERAPEUTIX,491994.4,5,383893.02,492071.88
MBX,MBX BIOSCIENCES,461999.34,5,383893.02,492071.88
DHC,DIVERSIFIED HEALTHCARE TRUST,459502.08,5,383893.02,492071.88
SFL,SFL,471409.04,5,383893.02,492071.88
NUVB,NUVATION BIO CLASS A,418134.42,5,383893.02,492071.88
CNXC,CONCENTRIX,398686.67,5,383893.02,492071.88
OMCL,OMNICELL INC,399204.63,5,383893.02,492071.88
SAFT,SAFETY INSURANCE GROUP INC,400080.9,5,383893.02,492071.88
NWBI,NORTHWEST BANCSHARES INC,597726.45,6,492184.07,630140.06
MZTI,MARZETTI,536214.46,6,492184.07,630140.06
ATRO,ASTRONICS,561120.26,6,492184.07,630140.06
NBTB,NBT BANCORP,624897.9,6,492184.07,630140.06
LASR,NLIGHT,575904.1,6,492184.07,630140.06
FRME,FIRST MERCHANTS,611234.75,6,492184.07,630140.06
MFP,MIDERA FOOD PROCESSING INC,492184.07,6,492184.07,630140.06
CRVL,CORVEL,566540.82,6,492184.07,630140.06
EFSC,ENTERPRISE FINANCIAL SERVICES CORP,616385.4,6,492184.07,630140.06
PAGS,PAGSEGURO DIGITAL LTD CLASS A,537213.0,6,492184.07,630140.06
MCY,MERCURY GENERAL,748595.28,7,632396.24,832302.08
ALRM,ALARM.COM HOLDINGS,695919.96,7,632396.24,832302.08
LOAR,LOAR HOLDINGS,764928.08,7,632396.24,832302.08
BLBD,BLUE BIRD,633461.5,7,632396.24,832302.08
CWT,CALIFORNIA WATER SERVICE GROUP,768641.51,7,632396.24,832302.08
PATK,PATRICK INDUSTRIES,662658.4,7,632396.24,832302.08
NRIX,NURIX THERAPEUTICS,706776.4,7,632396.24,832302.08
AAP,ADVANCE AUTO PARTS INC,720925.17,7,632396.24,832302.08
POWI,POWER INTEGRATIONS,779313.15,7,632396.24,832302.08
CLBK,COLUMBIA FINANCIAL INC,822270.6,7,632396.24,832302.08
POST,POST HOLDINGS,885848.57,8,833549.83,1061079.26
DORM,DORMAN PRODUCTS,964059.0,8,833549.83,1061079.26
IRT,INDEPENDENCE REALTY,913527.68,8,833549.83,1061079.26
OTTR,OTTER TAIL,953109.19,8,833549.83,1061079.26
HOG,HARLEY DAVIDSON,866326.0,8,833549.83,1061079.26
OLED,UNIVERSAL DISPLAY CORP,994067.88,8,833549.83,1061079.26
ACMR,ACM RESEARCH CLASS A,938781.26,8,833549.83,1061079.26
BWIN,BALDWIN INSURANCE GROUP CLASS A,835488.0,8,833549.83,1061079.26
KBH,KB HOME,924678.78,8,833549.83,1061079.26
CVBF,CVB FINANCIAL CORP,1035307.0,8,833549.83,1061079.26
SHC,SOTERA HEALTH COMPANY,1301807.84,9,1061560.5,1336984.72
PARR,PAR PACIFIC HOLDINGS,1091185.2,9,1061560.5,1336984.72
PAG,PENSKE AUTOMOTIVE GROUP VOTING INC,1189547.7,9,1061560.5,1336984.72
CXW,CORECIVIC REIT,1075848.9,9,1061560.5,1336984.72
OGS,ONE GAS,1320406.08,9,1061560.5,1336984.72
UNF,UNIFIRST,1145366.87,9,1061560.5,1336984.72
OUT,OUTFRONT MEDIA,1146952.5,9,1061560.5,1336984.72
NVST,ENVISTA HOLDINGS,1144095.98,9,1061560.5,1336984.72
CRC,CALIFORNIA RESOURCES,1209136.67,9,1061560.5,1336984.72
MYRG,MYR GROUP INC,1135371.5,9,1061560.5,1336984.72
