symbol,K,log_lik,n_obs,n_params,bic,converged
SPY,2,11894860.960526679,469833,23,-23789421.538003754,True
SPY,3,12138190.713186752,469833,38,-24275885.141335033,True
SPY,4,12558377.635893872,469833,55,-25116036.964495216,True
SPY,5,13052676.1075026,469833,74,-26104385.765193436,True
SPY,6,12651655.840578148,469833,95,-25302070.968560115,True
TLT,2,10225543.5783136,469635,23,-20450786.78327245,True
TLT,3,10469903.158578232,469635,38,-20939310.048135567,True
TLT,4,12596576.499019625,469635,55,-25192434.713930055,True
TLT,5,12655961.897474032,469635,74,-25310957.376328424,True
TLT,6,12066810.334752666,469635,95,-24132379.99695309,True
GLD,2,10375799.163061658,469259,23,-20751297.971190237,True
GLD,3,12558912.106286226,469259,38,-25117327.973987367,True
GLD,4,12609710.863228772,469259,55,-25218703.486400183,True
GLD,5,13079997.776667327,469259,74,-26159029.19398475,True
GLD,6,12713539.380415475,469259,95,-25425838.16436824,True
EWT,2,10359863.254921814,469259,23,-20719426.15491055,True
EWT,3,12555097.31901461,469259,38,-25109698.399444137,True
EWT,4,10784404.36497561,469259,55,-21568090.48989386,True
EWT,5,13113389.717188867,469259,74,-26225813.07502783,True
EWT,6,12121461.307449605,469259,95,-24241682.0184365,True
