symbol,n_tree,point_ic_tree,ci_lower_tree,ci_upper_tree,passes_tree,p_value_tree,p_value_fdr_tree,passes_fdr_significant_tree,passes_fdr_tree,n_baseline,point_ic_baseline,ci_lower_baseline,ci_upper_baseline,passes_baseline,p_value_baseline,p_value_fdr_baseline,passes_fdr_significant_baseline,passes_fdr_baseline
AGG,22793,0.19254753444128705,0.18036532414261167,0.2039397021332888,True,0.0,0.0,True,True,22793,0.051661368335361335,0.03951638582661098,0.06444234198136381,True,5.995204332975845e-15,1.0426442318218862e-14,True,True
AMLP,22779,0.22308885109371043,0.21081463748502569,0.23591182422091794,True,0.0,0.0,True,True,22779,0.05817997848555911,0.043914941158508414,0.07107029334735529,True,0.0,0.0,True,True
ARKK,14028,0.2125435898544115,0.19622367256188114,0.2279655018308723,True,0.0,0.0,True,True,14028,0.06180371590702997,0.043539104609272454,0.0779121241091662,True,2.3647750424515834e-13,3.8191672047105385e-13,True,True
BIL,22793,0.0252977245996187,0.013875375300655576,0.037052871018295096,True,0.00013362058383314945,0.00013362058383314945,True,True,22793,-0.08536860450005539,-0.09858202696605659,-0.07281065901824911,False,0.0,0.0,True,False
BTAL,14091,0.14073411765669472,0.12344737921591711,0.1578510417554274,True,0.0,0.0,True,True,14091,0.04749307280354278,0.03171114445446351,0.062430274238239956,True,1.6968279226148297e-08,2.121034903268537e-08,True,True
CIBR,15408,0.23474341044931948,0.2188624309752814,0.2503531890248021,True,0.0,0.0,True,True,15408,0.05161271695598442,0.036702929898033046,0.067507780942964,True,1.4515189050712252e-10,2.002095041477552e-10,True,True
CWB,22794,0.2123896784523581,0.19910940530376267,0.22489054653174748,True,0.0,0.0,True,True,22794,0.06939455318094093,0.055851902194987056,0.08348149309042192,True,0.0,0.0,True,True
DBA,22794,0.21185678487946794,0.2000124955391435,0.2238030410803503,True,0.0,0.0,True,True,22794,0.07352131697142061,0.06047232275381625,0.08596255243817205,True,0.0,0.0,True,True
DBB,22676,0.1370285272926933,0.12508945019683976,0.15027958442345313,True,0.0,0.0,True,True,22676,0.036431269096220555,0.023174095627100193,0.04935036045157496,True,4.0756778174610986e-08,4.657917505669827e-08,True,True
DBC,22792,0.22549236717882581,0.21361223516942646,0.23746493767699864,True,0.0,0.0,True,True,22792,0.06744256869012168,0.053810271903500746,0.08058285960071543,True,0.0,0.0,True,True
DIA,22794,0.22179085248988276,0.20954661286855022,0.23392216780083785,True,0.0,0.0,True,True,22794,0.04337576881659508,0.030521788785317264,0.05756281433467379,True,5.697731175757781e-11,8.139615965368259e-11,True,True
EDV,22602,0.19508110708833395,0.18355498000185408,0.20624900718835304,True,0.0,0.0,True,True,22602,0.05161197084948801,0.03751774041405275,0.06506201938411016,True,8.215650382226158e-15,1.3984085756980695e-14,True,True
EEM,22794,0.19241623731653767,0.18022625071716009,0.20496439035021702,True,0.0,0.0,True,True,22794,0.038550690562929174,0.02584238553541362,0.05162970936722878,True,5.811082948170565e-09,7.379152950057861e-09,True,True
EFA,22794,0.19177542220467672,0.1782633233854376,0.20469902563169434,True,0.0,0.0,True,True,22794,0.03399273532149052,0.021356516996737726,0.04818517391700129,True,2.8467979928947784e-07,3.163108880994198e-07,True,True
EMB,22789,0.17103197740460538,0.1580148995396518,0.18500624534893761,True,0.0,0.0,True,True,22789,0.07351389535290732,0.058960241261083034,0.08824422526338858,True,0.0,0.0,True,True
EWG,22795,0.16803281777763773,0.15547198885198318,0.181031333740381,True,0.0,0.0,True,True,22795,0.03728905874016948,0.023125938728656825,0.05011566359379557,True,1.7859026257838195e-08,2.198034000964701e-08,True,True
EWJ,22796,0.17013146575445767,0.15791467265712447,0.18250379645776296,True,0.0,0.0,True,True,22796,0.033073172784386415,0.019416375810931592,0.046253516472393084,True,5.895969177327487e-07,6.461336084742452e-07,True,True
EWT,22796,0.16591212969793914,0.15276440386007933,0.17835128031836195,True,0.0,0.0,True,True,22796,0.022806292647961524,0.00972821302010527,0.0358648273427235,True,0.0005739571619680639,0.0005812224424993052,True,True
EWY,22796,0.15377102800883222,0.14092542935829927,0.16726952990674562,True,0.0,0.0,True,True,22796,0.032135248323423314,0.020368594342077787,0.04741744751581877,True,1.2168279008850647e-06,1.315489622578448e-06,True,True
EWZ,22796,0.21279563433005935,0.20024239247687672,0.2258402989945032,True,0.0,0.0,True,True,22796,0.056185765516323774,0.04311974060659941,0.06798177172871994,True,0.0,0.0,True,True
EZU,22796,0.1800715858727969,0.1666943505533308,0.19282545603352155,True,0.0,0.0,True,True,22796,0.037245836506927484,0.02395573170181242,0.051799425986576275,True,1.853490694259108e-08,2.246655386980737e-08,True,True
FXA,20620,0.13066942627629813,0.11634695409147408,0.1443903057403706,True,0.0,0.0,True,True,20620,0.03830441416764871,0.026352206245504755,0.05181536909552503,True,3.7535474728400686e-08,4.351939098945007e-08,True,True
FXE,22723,0.15639037863452385,0.14419350593616095,0.16937080522113693,True,0.0,0.0,True,True,22723,0.03418618544080747,0.02149909063160685,0.04694102723450515,True,2.5430865413511583e-07,2.8654496240576433e-07,True,True
