symbol,n_tree,point_ic_tree,ci_lower_tree,ci_upper_tree,passes_tree,p_value_tree,p_value_fdr_tree,passes_fdr_significant_tree,passes_fdr_tree,n_linear,point_ic_linear,ci_lower_linear,ci_upper_linear,passes_linear,p_value_linear,p_value_fdr_linear,passes_fdr_significant_linear,passes_fdr_linear,n_baseline,point_ic_baseline,ci_lower_baseline,ci_upper_baseline,passes_baseline,p_value_baseline,p_value_fdr_baseline,passes_fdr_significant_baseline,passes_fdr_baseline
AGG,24559,0.18928050953855238,0.17798082366579226,0.20077753092839923,True,0.0,0.0,True,True,24559,0.015885835102106435,0.0027391430833886153,0.027715310755219772,True,0.012790526948370573,0.024362908473086805,True,True,24559,0.051190503545848844,0.03958048952822578,0.06264967634844933,True,8.881784197001252e-16,1.578983857244667e-15,True,True
AMLP,22698,0.22182122901995213,0.20897279592880932,0.23385012392808754,True,0.0,0.0,True,True,22698,0.02999153287765449,0.01656814466648981,0.043124816834078074,True,6.20594695610599e-06,4.8900893356447604e-05,True,True,22698,0.058494271342810884,0.0430110699297525,0.07227283012459818,True,0.0,0.0,True,True
ARKK,13984,0.214074974119114,0.1956785138418194,0.22956638507790586,True,0.0,0.0,True,True,13984,0.03989463234084208,0.023952118426746508,0.055182024875137285,True,2.368259650165072e-06,2.1051196890356197e-05,True,True,13984,0.06227719260939198,0.04514928348902351,0.08089224451833409,True,1.694200335577989e-13,2.710720536924782e-13,True,True
BIL,24559,0.022464122254202114,0.010431309071767102,0.03412372456458769,True,0.00043042940921145245,0.00043042940921145245,True,True,24559,-0.04763699097653864,-0.059173539442632865,-0.03526639864320084,False,8.060219158778636e-14,2.149391775674303e-12,True,False,24559,-0.08602404051440436,-0.09635955083712033,-0.0744256810596454,False,0.0,0.0,True,False
BTAL,14022,0.13669650481355303,0.12274031601446575,0.15345208932528098,True,0.0,0.0,True,True,14022,0.024220749905081853,0.007986579711307486,0.0381368326983217,True,0.004127444601374819,0.010318611503437047,True,True,14022,0.04801198487701132,0.03252709565341752,0.06215687406756996,True,1.2846826713541759e-08,1.491158501024707e-08,True,True
CIBR,15347,0.23638567548118633,0.22132413534009795,0.2514729008639896,True,0.0,0.0,True,True,15347,0.021441434626022576,0.007397530519758645,0.03936518873263592,True,0.007899897889555918,0.017080860301742523,True,True,15347,0.05215282082835,0.03817655863197143,0.06918517271670929,True,1.0148548668098556e-10,1.3997998162894562e-10,True,True
CWB,24556,0.20747229940559642,0.1952779286463587,0.21985487016202745,True,0.0,0.0,True,True,24556,0.045102653962115644,0.032454643767322024,0.05748328763473946,True,1.538325022920617e-12,2.461320036672987e-11,True,True,24556,0.06395593715789731,0.05090463490639895,0.0773550386668778,True,0.0,0.0,True,True
DBA,24559,0.2112785354904601,0.20003434965974484,0.2216178186590064,True,0.0,0.0,True,True,24559,0.034852164314618954,0.022010300824749526,0.0466595975816805,True,4.676989906471363e-08,6.235986541961818e-07,True,True,24559,0.07283352430512109,0.06027514906578174,0.08583043312273775,True,0.0,0.0,True,True
DBB,24442,0.14017696159342524,0.12940570939179427,0.15311498308206434,True,0.0,0.0,True,True,24442,0.0012665994006456555,-0.0109490659908019,0.01431680669155501,False,0.8430377795168451,0.8537091438145267,False,False,24442,0.03683882946059181,0.02539548021239412,0.04974181666215913,True,8.360695691322917e-09,9.982920228445274e-09,True,True
DBC,24557,0.22210804277258528,0.2100217611990294,0.23438458363499093,True,0.0,0.0,True,True,24557,0.021508176357768596,0.008820041710706723,0.03303819806490541,True,0.0007497899777864081,0.0023070460854966402,True,True,24557,0.06406870600870443,0.0512235567249809,0.0767875788823231,True,0.0,0.0,True,True
DIA,24559,0.2155869524259196,0.2040542111009026,0.2280592917564626,True,0.0,0.0,True,True,24559,0.0041396089778163135,-0.0077434672378014656,0.015112131471791397,False,0.516531805513119,0.5739242283479099,False,False,24559,0.04250150722704436,0.030800966134929525,0.05525353014970146,True,2.6790125673414877e-11,3.8271608104878396e-11,True,True
EDV,24297,0.19214226354157748,0.1796340631479006,0.20487612591633955,True,0.0,0.0,True,True,24297,0.0150327341481385,0.0017505281765450844,0.028341974120753847,True,0.01911715717773843,0.035566804051606386,True,True,24297,0.05144955136268006,0.03888836665295168,0.0629889699434957,True,1.1102230246251565e-15,1.9308226515220117e-15,True,True
EEM,24559,0.1874723215732675,0.17544219840382272,0.20085252472180193,True,0.0,0.0,True,True,24559,0.00929170200245961,-0.0029117047081218144,0.022005083965191647,False,0.14536805515409634,0.2280283218103472,False,False,24559,0.038752543983354086,0.02672450923845297,0.05072071975746968,True,1.2398422288839583e-09,1.6260225952576504e-09,True,True
