symbol,n_tree,point_ic_tree,ci_lower_tree,ci_upper_tree,passes_tree,p_value_tree,p_value_fdr_tree,passes_fdr_significant_tree,passes_fdr_tree,n_linear,point_ic_linear,ci_lower_linear,ci_upper_linear,passes_linear,p_value_linear,p_value_fdr_linear,passes_fdr_significant_linear,passes_fdr_linear,n_baseline,point_ic_baseline,ci_lower_baseline,ci_upper_baseline,passes_baseline,p_value_baseline,p_value_fdr_baseline,passes_fdr_significant_baseline,passes_fdr_baseline
AGG,316847,0.17784220187193484,0.17364699700284217,0.18204173009832372,True,0.0,0.0,True,True,316847,0.05391696088520827,0.05033064301625287,0.05750504838967144,True,0.0,0.0,True,True,316847,0.03820414268627193,0.034746343563529264,0.04227775411080867,True,0.0,0.0,True,True
AMLP,297852,0.19811948353799483,0.19309714487452787,0.20287469990766774,True,0.0,0.0,True,True,297852,0.05262765177589981,0.04819741719638354,0.05760613051085206,True,0.0,0.0,True,True,297852,0.04046292168023453,0.03569484800786946,0.044790132529760475,True,0.0,0.0,True,True
ARKK,166623,0.1533317941696008,0.1477438962090019,0.15883157890562913,True,0.0,0.0,True,True,166623,0.017173560095615947,0.011717882996651012,0.02189412978627597,True,2.3725466036239595e-12,2.7912312983811287e-12,True,True,166623,0.05771507623822413,0.05341978083143495,0.06225661778395493,True,0.0,0.0,True,True
BIL,288149,0.26650885257536283,0.25848536278875267,0.27549571788810034,True,0.0,0.0,True,True,288149,0.16709557017062968,0.15861828288640623,0.1749284498580404,True,0.0,0.0,True,True,288149,-0.12388195744943586,-0.13418503237172555,-0.11363903618081801,False,0.0,0.0,True,False
BTAL,98506,0.18575355253143624,0.17897334014561134,0.19319048685392815,True,0.0,0.0,True,True,98506,0.04335163457596449,0.03709933655784353,0.04965228054944244,True,0.0,0.0,True,True,98506,0.03039150181939458,0.02533186455592726,0.03593944997768629,True,0.0,0.0,True,True
CIBR,179529,0.182585554055462,0.17759157553183771,0.18861121517907103,True,0.0,0.0,True,True,179529,0.027296035643329115,0.02207687126021875,0.032569711137587186,True,0.0,0.0,True,True,179529,0.05081883445433394,0.04647420126950597,0.055293702753777915,True,0.0,0.0,True,True
CWB,297764,0.20130070072059536,0.1968180999434731,0.20592388061414002,True,0.0,0.0,True,True,297764,0.060988382973828616,0.05670399140704336,0.06501562588956185,True,0.0,0.0,True,True,297764,0.051377912170835864,0.048129024358785626,0.05430685864645903,True,0.0,0.0,True,True
DBA,304305,0.1804252435772423,0.17561569588640713,0.1851866634330564,True,0.0,0.0,True,True,304305,0.059797022169497824,0.05605989443458761,0.06396057500133165,True,0.0,0.0,True,True,304305,0.048135473755492535,0.0426561670885301,0.05345040097254945,True,0.0,0.0,True,True
DBB,215346,0.14723463082222626,0.1425460140715778,0.15270471200115154,True,0.0,0.0,True,True,215346,0.037946444944788306,0.033375851039132,0.042642204186661,True,0.0,0.0,True,True,215346,0.018077206687208806,0.013844509726679862,0.02247143768583869,True,0.0,0.0,True,True
DBC,315531,0.17677891171191848,0.17265116591810922,0.18112266964311294,True,0.0,0.0,True,True,315531,0.057229402813279574,0.05351287571113578,0.06078702779647226,True,0.0,0.0,True,True,315531,0.04271755096986549,0.038728437857725076,0.046984438699511306,True,0.0,0.0,True,True
DIA,316925,0.15976130972251712,0.15561934997564486,0.16375137497560552,True,0.0,0.0,True,True,316925,0.030404246884453267,0.026456374179292776,0.03432279254572767,True,0.0,0.0,True,True,316925,0.050431667313541796,0.04717615493243861,0.053402347427288006,True,0.0,0.0,True,True
EDV,218614,0.1547010843824616,0.15023753293374684,0.15879600699539528,True,0.0,0.0,True,True,218614,0.013232838873551112,0.009335929570055239,0.017532421953139057,True,6.11626971291912e-10,6.891571507514502e-10,True,True,218614,0.044215658996387346,0.04065021332022688,0.047964264783845405,True,0.0,0.0,True,True
EEM,316932,0.1324646200738973,0.12821387439561985,0.1368234125758265,True,0.0,0.0,True,True,316932,0.018637081864590538,0.014886254165400998,0.022487409420949404,True,0.0,0.0,True,True,316932,0.04628831685877963,0.04262719762923041,0.04966345004384549,True,0.0,0.0,True,True
EFA,316932,0.13821482120747802,0.1338704814885857,0.14239988622546454,True,0.0,0.0,True,True,316932,0.029560001666773975,0.02630067915759428,0.03323228043474835,True,0.0,0.0,True,True,316932,0.04399144146552391,0.040222856615799725,0.047381270756014275,True,0.0,0.0,True,True
EMB,313951,0.15418379706954763,0.1500703642336473,0.1581936756128438,True,0.0,0.0,True,True,313951,0.03928160834918457,0.03511802393164385,0.04353949928110767,True,0.0,0.0,True,True,313951,0.04585281469226072,0.04204853214548754,0.04990756019766743,True,0.0,0.0,True,True
EWG,316498,0.13395767088071578,0.12983140294467002,0.13808482777706108,True,0.0,0.0,True,True,316498,0.0475269952655584,0.04407328147102595,0.05136094119330602,True,0.0,0.0,True,True,316498,0.03236986457209541,0.028826733744349613,0.036071831261043824,True,0.0,0.0,True,True
EWJ,316927,0.16903975833721857,0.164569993624749,0.17361451435029954,True,0.0,0.0,True,True,316927,0.04842937866446414,0.04461069976748603,0.051928632741781396,True,0.0,0.0,True,True,316927,0.025698491403191293,0.021495691210252944,0.029733355100915997,True,0.0,0.0,True,True
EWT,316887,0.13786607885375296,0.13309040279894865,0.14287765133146577,True,0.0,0.0,True,True,316887,0.04041744099083527,0.036587478349943324,0.04408602675718296,True,0.0,0.0,True,True,316887,0.023107763187264176,0.018675911844117064,0.026734021597106264,True,0.0,0.0,True,True
EWY,316906,0.10579884052233285,0.1011795060859067,0.11031101680060476,True,0.0,0.0,True,True,316906,0.011529849935865926,0.007732221531213965,0.015287369321082869,True,8.535305795476233e-11,9.75463519482998e-11,True,True,316906,0.040126617266753935,0.036920037404575334,0.043745996654570594,True,0.0,0.0,True,True
EWZ,316932,0.15845465385177,0.1550275752109833,0.16234882721205718,True,0.0,0.0,True,True,316932,0.021740428841520457,0.018417253966853238,0.024861862903547548,True,0.0,0.0,True,True,316932,0.04690549174433632,0.043889211819382275,0.04992076987794541,True,0.0,0.0,True,True
EZU,308762,0.13546328502539878,0.13151238649007582,0.1394974276325192,True,0.0,0.0,True,True,308762,0.03283589220809521,0.02936280000650981,0.036383760477635994,True,0.0,0.0,True,True,308762,0.03968490827521826,0.036163072858030616,0.04300916174481533,True,0.0,0.0,True,True
FXA,142124,0.09223947863959171,0.08674174877246603,0.09816118029240554,True,0.0,0.0,True,True,142124,0.02274947842026953,0.017718829926701547,0.027934947156211355,True,0.0,0.0,True,True,142124,0.02680859379369504,0.021645149593152183,0.031220064921078025,True,0.0,0.0,True,True
FXE,258608,0.11584988825647116,0.1116937459824854,0.12017805948633183,True,0.0,0.0,True,True,258608,0.036208943258432075,0.032501227090242786,0.04008526114291698,True,0.0,0.0,True,True,258608,0.03379269206786585,0.030294994932816652,0.03686010574673999,True,0.0,0.0,True,True
FXI,316932,0.11496144315829916,0.11086863272398195,0.11921635839287097,True,0.0,0.0,True,True,316932,0.027149327033631425,0.023600157564307733,0.030526029253733343,True,0.0,0.0,True,True,316932,0.031802336964359364,0.02835158671747819,0.03529517392006008,True,0.0,0.0,True,True
FXY,219331,0.1086992594141418,0.10434473565056437,0.11278275170924512,True,0.0,0.0,True,True,219331,0.031869201345630135,0.027662613667490524,0.03611969069241577,True,0.0,0.0,True,True,219331,0.0294397959586872,0.0252620971051379,0.03339336691382119,True,0.0,0.0,True,True
GDX,316936,0.21842480712550463,0.214422263958956,0.22234758197686721,True,0.0,0.0,True,True,316936,0.018048623038098455,0.014149264078508255,0.02205842466504078,True,0.0,0.0,True,True,316936,0.07458326255277721,0.07132400250525141,0.07759997182221251,True,0.0,0.0,True,True
GLD,316936,0.17287924553174136,0.16927432487178937,0.17651809894592657,True,0.0,0.0,True,True,316936,0.047151849680360174,0.04386276707344237,0.05040065239875041,True,0.0,0.0,True,True,316936,0.05238114076921577,0.049232850829780656,0.055489911157090684,True,0.0,0.0,True,True
HYG,316926,0.20354708583236303,0.19913476609172232,0.2072397519589695,True,0.0,0.0,True,True,316926,0.03193255205391263,0.02818529584469866,0.035868474298848034,True,0.0,0.0,True,True,316926,0.06992830969513465,0.06584382371845605,0.07365586537142063,True,0.0,0.0,True,True
IBB,315705,0.23231952349564666,0.22829252915136283,0.23603185842456284,True,0.0,0.0,True,True,315705,0.014489662573240551,0.010796448973723678,0.018228549783326786,True,4.440892098500626e-16,5.302557729552986e-16,True,True,315705,0.07716995896643133,0.07407799076521468,0.08030349888924287,True,0.0,0.0,True,True
IBIT,37736,0.1428830944964763,0.13177415090762087,0.15367188086810832,True,0.0,0.0,True,True,37736,0.005994417178315568,-0.003594224998617403,0.01608341054565948,False,0.24424868278026524,0.24734043825849644,False,False,37736,0.05456121499282748,0.04378191342489251,0.06417021012344935,True,0.0,0.0,True,True
IEF,163029,0.17663159767384148,0.17113892806539158,0.18137309026394394,True,0.0,0.0,True,True,163029,0.03813612413745439,0.03373686462442886,0.042948749837675645,True,0.0,0.0,True,True,163029,0.04931610132754392,0.044634249594841933,0.0542987077268662,True,0.0,0.0,True,True
IGV,269324,0.19645619184500063,0.1925611226299969,0.20038989353072037,True,0.0,0.0,True,True,269324,0.017703273089085737,0.013978124407966792,0.021384539203118877,True,0.0,0.0,True,True,269324,0.06673091370268784,0.06329834864412338,0.07020675356789888,True,0.0,0.0,True,True
INDA,232197,0.1532839795578157,0.14864730417624988,0.1582747765374332,True,0.0,0.0,True,True,232197,0.028585745717938774,0.023948561038550233,0.03323909948683355,True,0.0,0.0,True,True,232197,0.038589550137501955,0.03321183905129161,0.04310125781713315,True,0.0,0.0,True,True
IPO,95540,0.13370576377693458,0.12688500848087728,0.14052590687812838,True,0.0,0.0,True,True,95540,0.0010669670155364916,-0.005889395294133877,0.007445013034332459,False,0.7415583162681916,0.7415583162681916,False,False,95540,0.04988424207523166,0.044423747345841536,0.05614981040644216,True,0.0,0.0,True,True
ITA,243144,0.18163036662865642,0.17684961221917575,0.18605111837826876,True,0.0,0.0,True,True,243144,0.013282814249987512,0.009044362281376886,0.0176295315966228,True,5.755151910591394e-11,6.672639896337847e-11,True,True,243144,0.06895072968456827,0.06543766763981063,0.0727091752414482,True,0.0,0.0,True,True
IWM,316934,0.22968806134440098,0.22608198344846897,0.23304377688444963,True,0.0,0.0,True,True,316934,0.030986228447859258,0.027318650959593377,0.03453220249373576,True,0.0,0.0,True,True,316934,0.0746911944680163,0.07145623549114458,0.07768921415346794,True,0.0,0.0,True,True
IYT,302018,0.15377668860057137,0.14999332752247344,0.15770204753432657,True,0.0,0.0,True,True,302018,0.014749958328668674,0.011105773038300801,0.018748087112518252,True,4.440892098500626e-16,5.302557729552986e-16,True,True,302018,0.05431703739782969,0.05123133154169813,0.05757046170241486,True,0.0,0.0,True,True
KRE,316894,0.22599164580926792,0.22195854556795744,0.22985471738458255,True,0.0,0.0,True,True,316894,0.016732344339946557,0.013534008746086687,0.020673823779091827,True,0.0,0.0,True,True,316894,0.07613776349444927,0.07273971502827885,0.07930687152500931,True,0.0,0.0,True,True
KWEB,210342,0.168917343006653,0.16448407490256692,0.17316076393549334,True,0.0,0.0,True,True,210342,0.006339788510285617,0.0019393675121319911,0.011433357370355241,True,0.0036417573005458337,0.003783643948619048,True,True,210342,0.0551573578487369,0.05122580426641769,0.05901891055972924,True,0.0,0.0,True,True
