symbol,n_tree,point_ic_tree,ci_lower_tree,ci_upper_tree,passes_tree,p_value_tree,p_value_fdr_tree,passes_fdr_significant_tree,passes_fdr_tree,n_linear,point_ic_linear,ci_lower_linear,ci_upper_linear,passes_linear,p_value_linear,p_value_fdr_linear,passes_fdr_significant_linear,passes_fdr_linear,n_baseline,point_ic_baseline,ci_lower_baseline,ci_upper_baseline,passes_baseline,p_value_baseline,p_value_fdr_baseline,passes_fdr_significant_baseline,passes_fdr_baseline
AGG,316847,0.12818714312115045,0.12400369325316678,0.13197897032587064,True,0.0,0.0,True,True,316847,0.04234855524215191,0.03860793965551481,0.04575314129782789,True,0.0,0.0,True,True,316847,-0.009334401540031602,-0.012909647312261312,-0.006020860923677235,False,1.4854788599194535e-07,3.301064133154341e-07,True,False
AMLP,297852,0.1517077038507612,0.14661651177088875,0.15658779098551567,True,0.0,0.0,True,True,297852,0.040827506331177876,0.036238021356355024,0.04603620843087176,True,0.0,0.0,True,True,297852,0.006749413254883484,0.0028306822471583747,0.010582414721239728,True,0.00022998643898319848,0.0004088647804145751,True,True
ARKK,166623,0.02741531882776773,0.02237960830853962,0.03224881173213811,True,0.0,0.0,True,True,166623,0.005727781509553397,0.00037810671615388296,0.010883937983972402,True,0.019384535174400197,0.02247482339060892,True,True,166623,0.0007070544585645693,-0.0036114551566338127,0.005770336192862987,False,0.7728769118553149,0.7826601639041163,False,False
BIL,288149,0.497442884626775,0.49140854146674096,0.5027221832683904,True,0.0,0.0,True,True,288149,0.17912796264258574,0.17117111873501945,0.18653021208925602,True,0.0,0.0,True,True,288149,0.03691266554036061,0.03242520471910362,0.04207348717633168,True,0.0,0.0,True,True
BTAL,98506,0.19023077160062302,0.18285579459747975,0.1976216183645527,True,0.0,0.0,True,True,98506,0.035841978927091324,0.02899660699736165,0.04227182305261051,True,0.0,0.0,True,True,98506,0.0010841807789643177,-0.004831968991402243,0.007408199938961018,False,0.7336508466117895,0.7566593475901151,False,False
CIBR,179529,0.11014918893841068,0.10339238928914432,0.11707896051568778,True,0.0,0.0,True,True,179529,0.01717551599649977,0.011908521739430066,0.022354534188477233,True,3.390621117205228e-13,5.535707946457515e-13,True,True,179529,0.0050837856223315695,5.0708545728944995e-05,0.009458870515956876,True,0.031236820125666753,0.04714991717081774,True,True
CWB,297764,0.1530227412505645,0.14742100337209518,0.15818591905902218,True,0.0,0.0,True,True,297764,0.049602365445487524,0.04538249300805116,0.05359203066088341,True,0.0,0.0,True,True,297764,-0.013781375083199167,-0.017430544263493886,-0.01044952103649419,False,5.46229728115577e-14,1.8999294890976592e-13,True,False
DBA,304305,0.12006082641438258,0.11606938101031178,0.12406344506852138,True,0.0,0.0,True,True,304305,0.046487399082601445,0.04245875837982378,0.050794060998513156,True,0.0,0.0,True,True,304305,0.0017125989466726212,-0.0018668192591740447,0.0054120502271351595,False,0.3447955766589743,0.388502058207295,False,False
DBB,215346,0.14262528762718105,0.13796048225938784,0.1474659994410434,True,0.0,0.0,True,True,215346,0.030164313156099774,0.025562678242141288,0.03453371925613306,True,0.0,0.0,True,True,215346,-0.008050956201267391,-0.012615537052994999,-0.003598893938381398,False,0.00018688426848778583,0.0003397895790687015,True,False
DBC,315531,0.11002791284702736,0.10609673478620726,0.11415211072030572,True,0.0,0.0,True,True,315531,0.04384901268820004,0.04040014478583426,0.04754870877977238,True,0.0,0.0,True,True,315531,-0.015678554413142354,-0.019376052620725077,-0.012149495858054266,False,0.0,0.0,True,False
DIA,316925,0.011630629200325784,0.008015008017621748,0.015203638546546067,True,5.839662087225861e-11,6.399629684631081e-11,True,True,316925,0.0200117485984856,0.016200217049460727,0.023926265051870114,True,0.0,0.0,True,True,316925,-0.017238892459527772,-0.020912495109350178,-0.013783184440647854,False,0.0,0.0,True,False
EDV,218614,0.07607108506427496,0.07116613765761755,0.08064247177412456,True,0.0,0.0,True,True,218614,0.004777207075871365,0.0008513258556384776,0.009186873726217513,True,0.025506814326311522,0.029150644944356024,True,True,218614,0.002529404114069219,-0.002050471056728163,0.006751850064792334,False,0.23694877182548413,0.2829239066572945,False,False
EEM,316932,0.044937563322147635,0.041112069550360404,0.048496574302793374,True,0.0,0.0,True,True,316932,0.008130994388042849,0.004364312611217698,0.012222349091947046,True,4.704752695428027e-06,6.603161677793722e-06,True,True,316932,-0.003198319443395362,-0.006682989536885275,0.0004701038917712362,False,0.07177442743184526,0.09569923657579367,False,False
EFA,316932,0.02928045004482034,0.02593296576480931,0.03305269075501487,True,0.0,0.0,True,True,316932,0.0198770852756857,0.016740210224216318,0.023649617934163095,True,0.0,0.0,True,True,316932,-0.015549086277091919,-0.019298901246675906,-0.012273956959195307,False,0.0,0.0,True,False
EMB,313951,0.13505255283342454,0.13036763266210272,0.13990240924901662,True,0.0,0.0,True,True,313951,0.026378633409667132,0.02245906198127217,0.030527353773680918,True,0.0,0.0,True,True,313951,0.001976128346442709,-0.0018192040721562853,0.005615377299825516,False,0.26818685910637474,0.31094128592043446,False,False
EWG,316498,0.060424995093088754,0.057074619605940166,0.0646563782600299,True,0.0,0.0,True,True,316498,0.03847616607495889,0.03504354993371099,0.04241734460293573,True,0.0,0.0,True,True,316498,-0.02413507890508608,-0.027875913639434115,-0.02084305269450821,False,0.0,0.0,True,False
EWJ,316927,0.15513745279465785,0.1496201691156035,0.16104534818615074,True,0.0,0.0,True,True,316927,0.03860327424768189,0.03469730451696369,0.04198938874745455,True,0.0,0.0,True,True,316927,-0.01846508681745722,-0.02202868784675538,-0.014944919453420772,False,0.0,0.0,True,False
EWT,316887,0.11406238661250774,0.10959119768105231,0.11885233145275483,True,0.0,0.0,True,True,316887,0.03411455255915543,0.0302851402545623,0.03777586618422249,True,0.0,0.0,True,True,316887,-0.013836676541856413,-0.01777030377912257,-0.00994645224148035,False,6.661338147750939e-15,2.6645352591003757e-14,True,False
EWY,316906,0.01696806249716118,0.013039336727640355,0.02118225580767094,True,0.0,0.0,True,True,316906,0.003020551194555367,-0.0007919431074683421,0.00688588291286466,False,0.08905599661860486,0.09759561273271766,False,False,316906,-0.0023046851601491824,-0.005885263367698686,0.0016277515782334075,False,0.1944917367550243,0.23937444523695298,False,False
EWZ,316932,0.020799748306880046,0.017114970529735804,0.024312514106222764,True,0.0,0.0,True,True,316932,0.013128666245854187,0.009728682120088601,0.01615211671578049,True,1.454392162258955e-13,2.4239869370982586e-13,True,True,316932,-0.01174216291038358,-0.014916425328871958,-0.008455204440867637,False,3.8262726320681395e-11,1.1337104095016709e-10,True,False
EZU,308762,0.04111575277690663,0.037374360080127206,0.045293005564933556,True,0.0,0.0,True,True,308762,0.022969059294315638,0.019581699078729704,0.026553961088794948,True,0.0,0.0,True,True,308762,-0.01687483049549965,-0.020468449988337533,-0.013561321025710121,False,0.0,0.0,True,False
FXA,142124,0.018270011777587393,0.01318295870895853,0.02351115995307383,True,5.650813150737122e-12,6.3671134092812644e-12,True,True,142124,0.014811335768596938,0.009787483803216182,0.01970497653755031,True,2.3500472456916555e-08,3.418250539187862e-08,True,True,142124,-0.0082329719309074,-0.013167444579455257,-0.0031154153246881425,False,0.0019105170901954072,0.003119211575829236,True,False
FXE,258608,0.012932362043341061,0.009476734928076857,0.01683649918716269,True,4.806688380654123e-11,5.3407648673934695e-11,True,True,258608,0.028250246823908247,0.024499840452732374,0.032270444423106365,True,0.0,0.0,True,True,258608,-0.018087671307287605,-0.021890675156788317,-0.014418621210474351,False,0.0,0.0,True,False
FXI,316932,0.03555189435477464,0.03206137070259962,0.03920703465940411,True,0.0,0.0,True,True,316932,0.019292737741821296,0.015619849478535112,0.022692854541135222,True,0.0,0.0,True,True,316932,-0.009333935392620618,-0.012774849941346325,-0.005758842893358877,False,1.4819134230847908e-07,3.301064133154341e-07,True,False
FXY,219331,0.03298249962138149,0.028807899856250176,0.03736372483367453,True,0.0,0.0,True,True,219331,0.024208489992954278,0.020005848141703534,0.02849107858329367,True,0.0,0.0,True,True,219331,-0.011857486818184824,-0.016049548417612487,-0.007778041815362062,False,2.802378418209628e-08,6.593831572257948e-08,True,False
