symbol,n_tree,point_ic_tree,ci_lower_tree,ci_upper_tree,passes_tree,p_value_tree,p_value_fdr_tree,passes_fdr_significant_tree,passes_fdr_tree,n_baseline,point_ic_baseline,ci_lower_baseline,ci_upper_baseline,passes_baseline,p_value_baseline,p_value_fdr_baseline,passes_fdr_significant_baseline,passes_fdr_baseline
AGG,98730,0.2557425253760535,0.24999919749661292,0.2625106093451114,True,0.0,0.0,True,True,98730,0.05802293184592024,0.05225612539466965,0.0633966592381579,True,0.0,0.0,True,True
AMLP,98730,0.28532936901281075,0.27921536340344577,0.2919472488786582,True,0.0,0.0,True,True,98730,0.07387692856670808,0.0684735938132468,0.07975501624620766,True,0.0,0.0,True,True
ARKK,57972,0.25329510513953074,0.24427356638059874,0.2618084560870344,True,0.0,0.0,True,True,57972,0.07633346542731455,0.06922429528942266,0.08393758775872005,True,0.0,0.0,True,True
BIL,97930,0.10687489275517537,0.09888547510638614,0.1136137451329189,True,0.0,0.0,True,True,97930,-0.13789369020328382,-0.14663624446400386,-0.12915326541456687,False,0.0,0.0,True,False
BTAL,46895,0.18337769993495287,0.17494102151635282,0.1927420438924596,True,0.0,0.0,True,True,46895,0.04417260117458256,0.03718343528700258,0.052295405476008465,True,0.0,0.0,True,True
CIBR,65601,0.2586487588697917,0.2506893804776928,0.265902894721851,True,0.0,0.0,True,True,65601,0.06726404310993327,0.060106805677757245,0.0734960425440902,True,0.0,0.0,True,True
CWB,98473,0.2671637870588814,0.26087601987858067,0.274157105820797,True,0.0,0.0,True,True,98473,0.07576915674569991,0.07090464994523693,0.08189387004355668,True,0.0,0.0,True,True
DBA,98521,0.24219834016486297,0.23584393031282797,0.24803767934513843,True,0.0,0.0,True,True,98521,0.07175501030724217,0.06588994272965724,0.07775590639998142,True,0.0,0.0,True,True
DBB,88194,0.1656085069996728,0.16034855594522165,0.1730718406204874,True,0.0,0.0,True,True,88194,0.02971176884790734,0.02354080885643469,0.0353353107138267,True,0.0,0.0,True,True
DBC,98722,0.2658609979784899,0.25962055515679466,0.2716765884884693,True,0.0,0.0,True,True,98722,0.06694999360853342,0.06145554324021233,0.07275150336665312,True,0.0,0.0,True,True
DIA,97167,0.28883914364531005,0.2826364294276308,0.29653111618713407,True,0.0,0.0,True,True,97167,0.06818761254774124,0.06193347377548605,0.073546032541606,True,0.0,0.0,True,True
EDV,88674,0.21466223925102781,0.20760062574542135,0.2218861340333082,True,0.0,0.0,True,True,88674,0.051513582132156774,0.04548981619670263,0.057316519212650414,True,0.0,0.0,True,True
EEM,98731,0.23353402170655319,0.22755438203047684,0.24164933900056124,True,0.0,0.0,True,True,98731,0.061891369637034205,0.05603247564892125,0.06811138206973331,True,0.0,0.0,True,True
EFA,98731,0.24538743851745062,0.23913695454188816,0.25245988193963115,True,0.0,0.0,True,True,98731,0.059768755374493505,0.0538652603056473,0.06654132489830895,True,0.0,0.0,True,True
EMB,98704,0.21879182494701316,0.21205545377776228,0.22499553940647535,True,0.0,0.0,True,True,98704,0.0774404909463666,0.07043362481661823,0.08433664728916408,True,0.0,0.0,True,True
EWG,98728,0.22694314844010802,0.22065755920812283,0.2339166712892213,True,0.0,0.0,True,True,98728,0.049504029972864294,0.043533580171695695,0.055576027886671986,True,0.0,0.0,True,True
EWJ,98732,0.22551156343215248,0.21898449438866352,0.23193697916427386,True,0.0,0.0,True,True,98732,0.04465450456040017,0.039100998694666836,0.051211537428421494,True,0.0,0.0,True,True
EWT,98732,0.2029253476511967,0.19664979573845187,0.21054477835877566,True,0.0,0.0,True,True,98732,0.04209834029524039,0.036071569200078514,0.048713039985525286,True,0.0,0.0,True,True
EWY,98732,0.19246836596440858,0.1858383548645569,0.19974634458445054,True,0.0,0.0,True,True,98732,0.05325697112347806,0.04689253773635121,0.059751212687799454,True,0.0,0.0,True,True
EWZ,98731,0.2759085505462414,0.26997021602852944,0.2824594567864341,True,0.0,0.0,True,True,98731,0.06504979864181237,0.05963639918892251,0.07079955446048451,True,0.0,0.0,True,True
EZU,98476,0.2350313404638171,0.22814959536572207,0.24220997482966536,True,0.0,0.0,True,True,98476,0.055340080182726244,0.04980573037269513,0.06145439344990498,True,0.0,0.0,True,True
FXA,63629,0.1233604425950758,0.11521858627500244,0.1316555687826891,True,0.0,0.0,True,True,63629,0.022820697665957967,0.015672437864973993,0.02992183346350038,True,8.55664072929585e-09,8.66495263726162e-09,True,True
FXE,93198,0.19571523087461928,0.18913008530853959,0.2024676284331582,True,0.0,0.0,True,True,93198,0.040135885908575177,0.03480403241793529,0.045866413955083625,True,0.0,0.0,True,True
FXI,98731,0.20744786887419955,0.2009730474210684,0.21396666954267485,True,0.0,0.0,True,True,98731,0.047596847703951346,0.041240431248167286,0.05362692822388129,True,0.0,0.0,True,True
FXY,88852,0.16657919549117695,0.1599843882331469,0.1736256719118289,True,0.0,0.0,True,True,88852,0.03659364781782915,0.030387977805276228,0.04230575525900913,True,0.0,0.0,True,True
GDX,98731,0.35598245732216166,0.3499364049838144,0.36167337081667494,True,0.0,0.0,True,True,98731,0.0943688438824183,0.08886329964646676,0.09967295634681625,True,0.0,0.0,True,True
GLD,98731,0.3064444685376794,0.3002272219197033,0.31268814186485816,True,0.0,0.0,True,True,98731,0.06691860052777857,0.06185113372164392,0.07219555453270718,True,0.0,0.0,True,True
HYG,98730,0.330869798706892,0.3241892762576166,0.3366641262244808,True,0.0,0.0,True,True,98730,0.09103967500121793,0.08486900283398097,0.09678450759633392,True,0.0,0.0,True,True
IBB,98716,0.3813135083288081,0.3752912910133793,0.38698335201141654,True,0.0,0.0,True,True,98716,0.09454029113209292,0.0891901486332153,0.10048918230417664,True,0.0,0.0,True,True
IBIT,12376,0.270839721290999,0.25174078615843376,0.288695023275302,True,0.0,0.0,True,True,12376,0.06372694016021514,0.047108296388347175,0.08193674962346637,True,1.2845280394913061e-12,1.317464655888519e-12,True,True
IEF,54336,0.30555777492630104,0.29813867487279394,0.3136156348868323,True,0.0,0.0,True,True,54336,0.06526626140226717,0.057686004533617004,0.07267628750621534,True,0.0,0.0,True,True
IGV,95456,0.3337112298601104,0.3274590252953291,0.3404549667586646,True,0.0,0.0,True,True,95456,0.08047134412257348,0.07475441069148643,0.08552009507009975,True,0.0,0.0,True,True
INDA,78499,0.24831855792916302,0.24065213246389713,0.25640328336676205,True,0.0,0.0,True,True,78499,0.05350747358100335,0.04718332588504907,0.06141465701985669,True,0.0,0.0,True,True
IPO,48486,0.1728466527770062,0.16245591583874622,0.1843646229052297,True,0.0,0.0,True,True,48486,0.050765428297786054,0.04202272090871073,0.05976954499774668,True,0.0,0.0,True,True
ITA,88792,0.3089537111950594,0.3024588562310373,0.3158519292813547,True,0.0,0.0,True,True,88792,0.0786765251862037,0.07219674163522108,0.08466845529034911,True,0.0,0.0,True,True
IWM,98731,0.3799441702424523,0.37454994259087293,0.3854696024511792,True,0.0,0.0,True,True,98731,0.09517861904339721,0.08960771010876195,0.10002619788601548,True,0.0,0.0,True,True
IYT,98406,0.2654982824948075,0.2581288811877051,0.2714408514975362,True,0.0,0.0,True,True,98406,0.06707009476551809,0.06116659596564954,0.07346239457578899,True,0.0,0.0,True,True
KRE,98730,0.3724120701313182,0.36707815287195156,0.3779621435097218,True,0.0,0.0,True,True,98730,0.08961885154861894,0.08411917655074669,0.09548415067920105,True,0.0,0.0,True,True
KWEB,75691,0.2762586860768411,0.26864481154707864,0.28379173595972534,True,0.0,0.0,True,True,75691,0.07146835203912344,0.06439180148487787,0.07891109797600745,True,0.0,0.0,True,True
LQD,98730,0.33701782318179146,0.3309819846252741,0.34359535196937546,True,0.0,0.0,True,True,98730,0.07591056957914966,0.07086489763406913,0.0812945588959901,True,0.0,0.0,True,True
MCHI,64112,0.20351135894954364,0.19478016456088,0.2127950179366461,True,0.0,0.0,True,True,64112,0.049133077532272286,0.04181437395705962,0.056741653856541265,True,0.0,0.0,True,True
MTUM,76123,0.3349856513183371,0.3276563106879047,0.3428458702064978,True,0.0,0.0,True,True,76123,0.08333327751216255,0.07667241928804182,0.08965178676288336,True,0.0,0.0,True,True
MUB,98641,0.3025924859136465,0.29646997450530843,0.30868009372363414,True,0.0,0.0,True,True,98641,0.0747650385185496,0.06864439969026415,0.08078581916749764,True,0.0,0.0,True,True
OIH,90851,0.35723567255851413,0.3508168294641597,0.36380521327958476,True,0.0,0.0,True,True,90851,0.09166210640367888,0.0860263037236458,0.0969615417078321,True,0.0,0.0,True,True
PFF,54336,0.3410820543345869,0.332275192161492,0.3490735601309662,True,0.0,0.0,True,True,54336,0.08352722406885796,0.07501114178778182,0.09159640049213882,True,0.0,0.0,True,True
PPLT,91678,0.18536468776873297,0.17814616201604572,0.1914027643816735,True,0.0,0.0,True,True,91678,0.04267999944321537,0.03750624885617414,0.048570216312949104,True,0.0,0.0,True,True
QQQ,98721,0.36999412814122096,0.363810689492637,0.37574888203768386,True,0.0,0.0,True,True,98721,0.09101641204338692,0.08569250811084489,0.09702144478792675,True,0.0,0.0,True,True
QUAL,76038,0.3287161220472802,0.3221868968476051,0.33564293342095225,True,0.0,0.0,True,True,76038,0.08180914698230622,0.07508236808493692,0.08890911306090182,True,0.0,0.0,True,True
RSP,98732,0.3596519075808522,0.3534153151251251,0.36533315567060176,True,0.0,0.0,True,True,98732,0.08724425528577279,0.08198165663256493,0.0926416144531635,True,0.0,0.0,True,True
SCHD,91858,0.35590207544154073,0.34930333837229244,0.36152597539494824,True,0.0,0.0,True,True,91858,0.06837679799740884,0.061459172232141465,0.07482347563453423,True,0.0,0.0,True,True
SDOG,82579,0.24560330731772562,0.23862541014344402,0.2532583958598366,True,0.0,0.0,True,True,82579,0.06026325063719061,0.053945849646122895,0.06703270828452536,True,0.0,0.0,True,True
SHY,54338,0.2429198631411771,0.23263262832759515,0.253465109381877,True,0.0,0.0,True,True,54338,0.01789885646033985,0.006250627570852361,0.028093933856251935,True,3.0120492426011225e-05,3.0120492426011225e-05,True,True
SLV,98733,0.3064900084056676,0.3003909875341209,0.31273978283719395,True,0.0,0.0,True,True,98733,0.06902235981103128,0.06292670747832292,0.07444397399646985,True,0.0,0.0,True,True
