symbol,n_tree,point_ic_tree,ci_lower_tree,ci_upper_tree,passes_tree,p_value_tree,p_value_fdr_tree,passes_fdr_significant_tree,passes_fdr_tree,n_linear,point_ic_linear,ci_lower_linear,ci_upper_linear,passes_linear,p_value_linear,p_value_fdr_linear,passes_fdr_significant_linear,passes_fdr_linear,n_baseline,point_ic_baseline,ci_lower_baseline,ci_upper_baseline,passes_baseline,p_value_baseline,p_value_fdr_baseline,passes_fdr_significant_baseline,passes_fdr_baseline
AGG,3811,0.020661520647724172,-0.01419629472419912,0.05478964459938083,False,0.20223085725464895,0.7791530698862711,False,False,3811,0.006827691631408371,-0.023403324104829815,0.03824456594491551,False,0.6734903557304108,0.7697032636918981,False,False,3811,-0.0008275946061870545,-0.031189893243578255,0.027990430768227496,False,0.9592670379000481,0.9770575127346484,False,False
AMLP,3534,-0.048344063649180605,-0.08209913430204419,-0.011848675989118916,False,0.00404545192983452,0.06472723087735233,False,False,3534,-0.011497816456321511,-0.04638162948186273,0.02378543183081532,False,0.4944193687780376,0.5924226729302973,False,False,3534,-0.002194426009089266,-0.039834355542652314,0.03196301489549606,False,0.8962443887218692,0.9434151460230202,False,False
ARKK,2477,0.03463930970279263,-0.008199546511868367,0.07748784129611729,False,0.0847751876153664,0.5216934622484086,False,False,2477,0.01753297840632554,-0.018503337639332682,0.05718504959289283,False,0.38308095239228956,0.5024012490390684,False,False,2477,-0.011437624349364375,-0.05175105024202437,0.024779129265220298,False,0.5693725880248697,0.7230128101903107,False,False
BIL,3811,-0.014560310698872507,-0.055409511651392455,0.026521405030017972,False,0.3688610947003712,0.8297950210238461,False,False,3811,0.016286848976484053,-0.01876850834213877,0.05435110675913408,False,0.31481127972008505,0.4579073159564873,False,False,3811,-0.08207262419048414,-0.11888615966907697,-0.04476544015817072,False,3.90539127703704e-07,1.562156510814816e-05,True,False
BTAL,2929,0.04262037823215988,0.009929916711987414,0.07682960824685939,True,0.021072193256248317,0.24082506578569507,False,False,2929,0.03732018224559507,0.008396210380855272,0.06948556082173703,True,0.04342297659369421,0.09388751695933882,False,False,2929,-0.022396878654648684,-0.053144248063208506,0.006292031447320721,False,0.22560466188850192,0.384007935129365,False,False
CIBR,2316,-1.3316924453302987e-05,-0.04407248071326015,0.04123747883978135,False,0.9994889319577522,0.9994889319577522,False,False,2316,0.04256876421090366,-2.3010726151424972e-05,0.08017694610800083,False,0.04051715769042019,0.0903405939477168,False,False,2316,-0.048208078277152955,-0.08716731017632587,-0.008377894921522284,False,0.020335337363894368,0.04784785262092792,True,False
CWB,3811,0.014178656650017408,-0.019879104417412082,0.04767515255780325,False,0.38154557405838463,0.8297950210238461,False,False,3811,0.005809344802660565,-0.022792523768474453,0.0354124896608245,False,0.719957654744968,0.8112198926703865,False,False,3811,-0.013968930668755094,-0.04462059333682964,0.014279084057440975,False,0.3886284643858855,0.5757458731642747,False,False
DBA,3811,-0.010630175677660501,-0.043330835210960914,0.02004153262695861,False,0.5117989967053864,0.8327352479904647,False,False,3811,0.0012420803619447823,-0.030832171005416367,0.0373164631948163,False,0.9388999196710937,0.9559042495030318,False,False,3811,0.0005964132543231285,-0.03380995566750822,0.031351881166921454,False,0.9706393058185196,0.9770575127346484,False,False
DBB,3811,-0.013173694777677644,-0.0433852141557577,0.02203665597216079,False,0.41620423666683504,0.8297950210238461,False,False,3811,-0.01554352011248515,-0.04556764886417579,0.016156486646515165,False,0.33740969167611645,0.46539267817395374,False,False,3811,0.010421676700301216,-0.021857940382716715,0.04045469685498132,False,0.5201132280485656,0.6711138426433105,False,False
DBC,3811,-0.02071917701526512,-0.05077542467284112,0.009094140501805558,False,0.20097426318680878,0.7791530698862711,False,False,3811,-0.017674891453076984,-0.051124293376223144,0.01567129754084283,False,0.275335989533535,0.4235938300515923,False,False,3811,0.01637934515294788,-0.01618450937690252,0.04846893872108528,False,0.31207047521223075,0.4982385928085913,False,False
